Name,From,Institution,Letter,Gender,Race,URM,Research,Status,security,Field,AMS Citations,Is Fields
edgar fuller,,florida international university,A Only,man,white,noturm,moreri,professor,moresecure,math,5,
matthew ando,,university of illinois,A Only,man,asian,noturm,moreri,professor,moresecure,math,301,
renzo cavalieri,,colorado state university,A Only,man,white,noturm,moreri,professor,moresecure,math,204,
anne m ho,,university of tennessee,A Only,woman,asian,noturm,moreri,professor,moresecure,math,0,
michael lacey,,georgia institute of technology,A Only,man,white,noturm,moreri,professor,moresecure,math,1978,
debra k borkovitz,,boston university,A Only,woman,white,noturm,moreri,professor,moresecure,math,0,
holly swisher,,oregon state university,A Only,woman,white,noturm,moreri,professor,moresecure,math,64,
amie wilkinson,,university of chicago,A Only,woman,white,noturm,moreri,professor,moresecure,math,783,
daniel pollack,,university of washington,A Only,man,white,noturm,moreri,professor,moresecure,math,504,
thomas dick,,oregon state university,A Only,man,white,noturm,moreri,professor,moresecure,math,0,
nate brown,,pennsylvania state university,A Only,man,white,noturm,moreri,professor,moresecure,math,896,
marianne korten,,kansas state university,A Only,woman,latinx,urm,moreri,professor,moresecure,math,41,
james ä_ä_lvarez,,university of texas at arlington,A Only,man,latinx,urm,moreri,professor,moresecure,math,1,
thomas goodwillie,,brown university,A Only,man,white,noturm,moreri,professor,moresecure,math,679,
jasmine foo,,university of minnesota,A Only,woman,asian,noturm,moreri,professor,moresecure,math,157,
maria basterra,,university of new hampshire,A Only,woman,white,noturm,moreri,professor,moresecure,math,122,
brooke shipley,,university of illinois at chicago,A Only,woman,white,noturm,moreri,professor,moresecure,math,1290,
matilde marcolli,,california institute of technology,A Only,woman,white,noturm,moreri,professor,moresecure,math,1061,
rami grossberg,,carnegie mellon university,A Only,man,white,noturm,moreri,professor,moresecure,math,371,
joshua cooper,,university of south carolina,A Only,man,white,noturm,moreri,professor,moresecure,math,272,
russell brown,,university of kentucky,A Only,man,white,noturm,moreri,professor,moresecure,math,698,
sean sather wagstaff,,clemson university,A Only,man,white,noturm,moreri,professor,moresecure,math,538,
ricardo cortez,,tulane university,A Only,man,latinx,urm,moreri,professor,moresecure,math,635,
abba gumel,,arizona state university,A Only,man,black,urm,moreri,professor,moresecure,math,851,
matthias kawski,,arizona state university,A Only,man,white,noturm,moreri,professor,moresecure,math,223,
bruce reznick,,university of illinois,A Only,man,white,noturm,moreri,professor,moresecure,math,836,
richard mcgehee,,university of minnesota,A Only,man,white,noturm,moreri,professor,moresecure,math,473,
gloria mari beffa,,university of wisconsin,A Only,woman,white,noturm,moreri,professor,moresecure,math,299,
jianzhong su,,university of texas at arlington,A Only,man,asian,noturm,moreri,professor,moresecure,math,2,
diane henderson,,pennsylvania state university,A Only,woman,white,noturm,moreri,professor,moresecure,math,150,
justin r peters,,iowa state university,A Only,man,white,noturm,moreri,professor,moresecure,math,303,
perla myers,,university of san diego,A Only,woman,white,noturm,moreri,professor,moresecure,math,27,
daniel groves,,university of illinois at chicago,A Only,man,white,noturm,moreri,professor,moresecure,math,250,
bill rosenthal,,city university of new york,A Only,man,white,noturm,moreri,retired,moresecure,math,0,
rob kirby,,university of california berkeley,B and C,man,white,noturm,moreri,professor,moresecure,math,1489,
clifford henry taubes,,harvard university,B and C,man,white,noturm,moreri,professor,moresecure,math,2772,Yes
michael freedman,,university of california santa barbara,B and C,man,white,noturm,moreri,professor,moresecure,math,1962,Yes
benedict h gross,,university of california san diego,B and C,man,white,noturm,moreri,professor,moresecure,math,3030,
darren long,,university of california santa barbara,B and C,man,white,noturm,moreri,professor,moresecure,math,1086,
wilfried schmid,,harvard university,B and C,man,white,noturm,moreri,professor,moresecure,math,1335,
eric babson,,university of california davis,B and C,man,white,noturm,moreri,professor,moresecure,math,573,
dan romik,,university of california davis,B and C,man,white,noturm,moreri,professor,moresecure,math,336,
james glimm,,stony brook university,B and C,man,white,noturm,moreri,professor,moresecure,math,2902,
william goldman,,university of maryland,B and C,man,white,noturm,moreri,professor,moresecure,math,2591,
