name,affiliation,citations,hindex,year,lettergroup,gender,highered,institution,research,country,role,security,field,simplefield,fellows,amscit,Fields
matthew salomone,bridgewater state university,,,2006,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
mary d shepherd,northwest missouri state university,,,1996,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
michelle manes,university of hawaii at manoa,266,9,2007,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
chanda prescod weinstein,university of new hampshire,,,2010,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,other,other ,FALSE,,FALSE
barbara fantechi,sissa,2351,18,,A Only,woman,highered,international,moreri,italy,professor,moresecure,math,mathstat,FALSE,,FALSE
mikael vejdemo johansson,city university of new york,961,12,,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,stat,mathstat,FALSE,,FALSE
max lahn,university of michigan,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
f patricia medina,yeshiva university,19,2,,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,comp,other ,FALSE,,FALSE
benjamin braun,university of kentucky,405,13,2007,A Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
diana thomas,united states military academy,5112,34,1996,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
terrence blackman,medgar evers college cuny,8,2,2011,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
mark daniel ward,purdue university,275,10,,A Only,man,highered,domesticr1,moreri,,professor,moresecure,stat,mathstat,FALSE,,FALSE
andrew cooper,university of pennsylvania,42,3,,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
susan j sierra,university of edinburgh,211,9,2008,A Only,woman,highered,international,moreri,united kingdom,professor,moresecure,math,mathstat,FALSE,,FALSE
ralph pantozzi,kent place school,12,1,,A Only,man,nothighered,domesticother,lessri,,,,,,FALSE,,FALSE
alison marr,southwestern university,,,2007,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
jessica deshler,west virginia university,102,5,2008,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
melanie brown,champlain college,,,2010,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
theron j hitchman,university of northern iowa,,,2003,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
oscar vega,california state university fresno,,,2006,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
mariah birgen,wartburg college,,,1997,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
ann clifton,cedar crest college,,,,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
mitchel t keller,morningside college,276,8,2010,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
jason e miller,california state university channel islands,,,1998,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
anil venkatesh,adelphi university,,,2015,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
ellen goldstein,boston college,,,2011,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
sandra laursen,university of colorado,5038,25,,A Only,woman,highered,domesticr1,moreri,,staff,lesssecure,other,other ,FALSE,,FALSE
juanita pinzon caicedo,north carolina state university,,,,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
benjamin gaines,iona college,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
aida alibek,university of illinois at chicago,17,2,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
sam cook,boston university,55,4,,A Only,man,highered,domesticr1,moreri,,associate,moresecure,mathed,mathed,FALSE,,FALSE
rann bar on,duke university,,,,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
casey warmbrand,herberger young scholars academy,,,,A Only,man,nothighered,,,,,,,,FALSE,,FALSE
teri murphy,university of cincinnati,,,1995,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,other,other ,FALSE,,FALSE
jeff graham,susquehanna university,,,,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
whitney george,university of wisconsin la crosse,,,2012,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
joanna wares,university of richmond,301,9,2008,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
bahar acu,northwestern university,,,2017,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
katrina piatek jimenez,central michigan university,75,4,,A Only,woman,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
jennifer bowen,college of wooster,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
jill shahverdian,quinnipiac university,,,2003,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
ksenija simic muller,pacific lutheran university,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
courtney r gibbons,hamilton college,,,2013,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
david clark,grand valley state university,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
